iter	Passed	Remaining
0	19	19692
1	30	14996
2	43	14540
3	55	13722
4	70	14102
5	80	13411
6	92	13083
7	111	13797
8	131	14501
9	141	13961
10	151	13633
11	161	13281
12	175	13293
13	190	13396
14	199	13111
15	210	12965
16	221	12818
17	234	12793
18	247	12789
19	258	12654
20	267	12464
21	277	12321
22	290	12354
23	302	12292
24	313	12242
25	324	12156
26	334	12041
27	343	11926
28	357	11954
29	373	12068
30	388	12149
31	406	12298
32	422	12377
33	448	12739
34	458	12654
35	475	12739
36	487	12698
37	535	13565
38	550	13561
39	579	13900
40	611	14314
41	627	14313
42	688	15320
43	705	15337
44	745	15814
45	759	15748
46	774	15702
47	789	15651
48	802	15582
49	849	16148
50	864	16088
51	876	15976
52	886	15841
53	898	15743
54	911	15664
55	925	15595
56	937	15504
57	950	15431
58	972	15508
59	987	15464
60	996	15336
61	1006	15228
62	1068	15892
63	1084	15857
64	1149	16536
65	1164	16483
66	1209	16841
67	1235	16927
68	1249	16864
69	1274	16937
70	1294	16931
71	1325	17081
72	1340	17018
73	1358	16996
74	1390	17149
75	1404	17079
76	1418	17004
77	1431	16915
78	1442	16813
79	1455	16743
80	1479	16784
81	1490	16689
82	1501	16588
83	1514	16510
84	1530	16471
85	1546	16435
86	1561	16384
87	1576	16342
88	1593	16312
89	1654	16727
90	1671	16698
91	1692	16704
92	1714	16724
93	1738	16759
94	1756	16734
95	1767	16647
96	1777	16549
97	1788	16460
98	1800	16384
99	1812	16310
100	1833	16318
101	1849	16281
102	1862	16224
103	1876	16168
104	1887	16087
105	1902	16041
106	1913	15966
107	1926	15911
108	1937	15834
109	1947	15754
110	1959	15694
111	1970	15624
112	1980	15542
113	1991	15481
114	2002	15407
115	2014	15355
116	2025	15282
117	2035	15212
118	2049	15170
119	2063	15133
120	2082	15131
121	2105	15150
122	2131	15198
123	2155	15230
124	2170	15194
125	2185	15159
126	2203	15148
127	2228	15180
128	2251	15204
129	2262	15142
130	2272	15075
131	2285	15026
132	2295	14961
133	2304	14892
134	2314	14828
135	2330	14808
136	2341	14752
137	2359	14738
138	2373	14699
139	2387	14663
140	2403	14641
141	2415	14593
142	2427	14545
143	2442	14518
144	2454	14471
145	2468	14436
146	2479	14389
147	2490	14337
148	2503	14300
149	2519	14276
150	2533	14243
151	2548	14218
152	2567	14213
153	2585	14201
154	2597	14160
155	2627	14213
156	2640	14176
157	2651	14128
158	2664	14095
159	2675	14048
160	2687	14005
161	2701	13973
162	2713	13934
163	2723	13883
164	2734	13840
165	2749	13815
166	2763	13784
167	2777	13754
168	2790	13720
169	2802	13682
170	2816	13656
171	2834	13646
172	2850	13628
173	2868	13615
174	2883	13592
175	2901	13583
176	2908	13522
177	2918	13477
178	2930	13442
179	2945	13416
180	2960	13394
181	2970	13350
182	2981	13312
183	2992	13272
184	3002	13229
185	3014	13190
186	3025	13151
187	3037	13117
188	3054	13106
189	3067	13077
190	3078	13041
191	3089	13001
192	3106	12989
193	3118	12955
194	3133	12936
195	3146	12908
196	3163	12893
197	3181	12888
198	3193	12855
199	3205	12821
200	3217	12790
201	3240	12800
202	3258	12794
203	3270	12761
204	3296	12782
205	3307	12746
206	3318	12714
207	3330	12680
208	3341	12646
209	3352	12611
210	3368	12594
211	3383	12574
212	3395	12544
213	3409	12524
214	3424	12502
215	3438	12482
216	3456	12473
217	3490	12522
218	3508	12511
219	3528	12510
220	3540	12480
221	3552	12450
222	3568	12432
223	3582	12410
224	3597	12390
225	3614	12377
226	3631	12366
227	3643	12335
228	3653	12300
229	3675	12305
230	3696	12306
231	3712	12289
232	3722	12253
233	3737	12234
234	3756	12230
235	3780	12239
236	3804	12247
237	3824	12244
238	3844	12241
239	3858	12218
240	3874	12201
241	3926	12298
242	3994	12443
243	4017	12447
244	4065	12528
245	4080	12506
246	4131	12595
247	4149	12581
248	4187	12629
249	4237	12712
250	4252	12689
251	4303	12773
252	4323	12765
253	4345	12763
254	4370	12769
255	4407	12808
256	4423	12788
257	4449	12796
258	4464	12772
259	4479	12749
260	4493	12723
261	4503	12686
262	4511	12641
263	4524	12614
264	4535	12579
265	4545	12543
266	4556	12509
267	4568	12477
268	4579	12444
269	4589	12408
270	4600	12376
271	4618	12360
272	4634	12340
273	4658	12343
274	4670	12311
275	4682	12282
276	4695	12254
277	4706	12224
278	4722	12205
279	4740	12190
280	4760	12180
281	4786	12187
282	4816	12203
283	4844	12212
284	4865	12206
285	4895	12220
286	4910	12198
287	4928	12185
288	4941	12156
289	4954	12129
290	4965	12097
291	4986	12090
292	4999	12062
293	5021	12059
294	5036	12035
295	5047	12004
296	5062	11983
297	5075	11957
298	5086	11924
299	5096	11891
300	5106	11857
301	5121	11836
302	5131	11803
303	5141	11771
304	5152	11741
305	5161	11707
306	5175	11682
307	5186	11653
308	5210	11651
309	5226	11632
310	5243	11616
311	5259	11596
312	5269	11565
313	5281	11538
314	5293	11511
315	5306	11485
316	5317	11456
317	5330	11433
318	5344	11408
319	5356	11382
320	5373	11366
321	5386	11341
322	5395	11308
323	5407	11281
324	5417	11252
325	5428	11223
326	5439	11194
327	5451	11169
328	5463	11142
329	5485	11136
330	5502	11120
331	5519	11104
332	5559	11135
333	5584	11135
334	5602	11120
335	5645	11156
336	5660	11135
337	5678	11122
338	5704	11122
339	5710	11085
340	5725	11064
341	5744	11051
342	5769	11051
343	5780	11024
344	5791	10995
345	5803	10968
346	5818	10948
347	5830	10922
348	5840	10894
349	5851	10866
350	5860	10836
351	5874	10813
352	5891	10798
353	5903	10773
354	5914	10745
355	5923	10716
356	5936	10691
357	5949	10668
358	5959	10640
359	5978	10628
360	6002	10625
361	6017	10605
362	6038	10595
363	6052	10574
364	6065	10551
365	6079	10531
366	6100	10521
367	6114	10500
368	6141	10502
369	6152	10476
370	6165	10453
371	6176	10427
372	6189	10405
373	6206	10388
374	6217	10361
375	6234	10347
376	6247	10324
377	6256	10295
378	6268	10271
379	6278	10243
380	6293	10225
381	6303	10197
382	6312	10169
383	6324	10144
384	6333	10117
385	6343	10090
386	6355	10066
387	6371	10049
388	6384	10027
389	6399	10009
390	6416	9994
391	6431	9974
392	6494	10030
393	6529	10042
394	6547	10027
395	6586	10046
396	6606	10035
397	6652	10061
398	6670	10047
399	6707	10060
400	6723	10043
401	6751	10043
402	6769	10028
403	6822	10064
404	6880	10108
405	6895	10087
406	6939	10110
407	6954	10091
408	6998	10112
409	7014	10094
410	7028	10072
411	7044	10054
412	7059	10033
413	7074	10013
414	7092	9998
415	7109	9980
416	7121	9956
417	7138	9939
418	7154	9920
419	7169	9900
420	7185	9882
421	7197	9858
422	7211	9837
423	7230	9822
424	7242	9798
425	7255	9776
426	7316	9818
427	7343	9814
428	7357	9793
429	7389	9795
430	7425	9803
431	7442	9785
432	7458	9766
433	7478	9752
434	7499	9740
435	7517	9724
436	7566	9748
437	7583	9730
438	7611	9726
439	7630	9711
440	7643	9689
441	7655	9664
442	7672	9647
443	7687	9626
444	7699	9602
445	7715	9584
446	7727	9560
447	7738	9535
448	7748	9509
449	7759	9483
450	7768	9457
451	7782	9435
452	7807	9427
453	7821	9406
454	7831	9380
455	7847	9362
456	7861	9340
457	7875	9319
458	7885	9294
459	7905	9280
460	7918	9258
461	7932	9237
462	7942	9211
463	7954	9188
464	7964	9163
465	7974	9138
466	7992	9121
467	8002	9097
468	8012	9072
469	8028	9053
470	8046	9036
471	8059	9015
472	8069	8991
473	8081	8968
474	8092	8944
475	8103	8921
476	8114	8897
477	8130	8879
478	8145	8859
479	8158	8838
480	8170	8815
481	8181	8792
482	8198	8775
483	8209	8752
484	8222	8731
485	8242	8717
486	8257	8698
487	8269	8676
488	8278	8651
489	8291	8630
490	8304	8608
491	8316	8587
492	8330	8567
493	8345	8547
494	8354	8523
495	8377	8512
496	8389	8490
497	8399	8466
498	8410	8443
499	8428	8428
500	8443	8409
501	8457	8390
502	8474	8373
503	8489	8354
504	8501	8333
505	8511	8309
506	8524	8289
507	8544	8275
508	8566	8263
509	8576	8240
510	8608	8238
511	8620	8215
512	8632	8194
513	8650	8178
514	8665	8160
515	8677	8139
516	8693	8121
517	8705	8100
518	8721	8082
519	8735	8063
520	8747	8042
521	8757	8019
522	8769	7997
523	8788	7983
524	8804	7966
525	8822	7950
526	8849	7942
527	8870	7929
528	8888	7914
529	8909	7900
530	8923	7881
531	8947	7871
532	8964	7854
533	8980	7836
534	8991	7815
535	9006	7796
536	9019	7776
537	9029	7754
538	9039	7731
539	9053	7711
540	9065	7691
541	9079	7672
542	9093	7653
543	9103	7630
544	9115	7609
545	9133	7594
546	9146	7574
547	9161	7556
548	9174	7537
549	9190	7519
550	9202	7498
551	9212	7476
552	9222	7454
553	9236	7435
554	9246	7413
555	9257	7392
556	9267	7370
557	9279	7350
558	9289	7328
559	9299	7307
560	9314	7289
561	9331	7272
562	9346	7254
563	9357	7233
564	9366	7211
565	9376	7189
566	9388	7169
567	9401	7150
568	9411	7128
569	9427	7111
570	9441	7093
571	9457	7076
572	9468	7056
573	9493	7045
574	9505	7026
575	9526	7012
576	9553	7004
577	9564	6983
578	9579	6965
579	9595	6948
580	9609	6930
581	9622	6911
582	9638	6893
583	9649	6873
584	9660	6853
585	9678	6837
586	9688	6816
587	9702	6798
588	9715	6779
589	9730	6761
590	9741	6741
591	9766	6731
592	9778	6711
593	9791	6692
594	9805	6674
595	9820	6657
596	9835	6639
597	9847	6619
598	9862	6602
599	9879	6586
600	9891	6567
601	9937	6570
602	9958	6556
603	9997	6554
604	10012	6537
605	10028	6520
606	10077	6524
607	10129	6530
608	10144	6512
609	10180	6508
610	10196	6491
611	10238	6491
612	10253	6473
613	10284	6465
614	10298	6447
615	10316	6431
616	10361	6431
617	10377	6414
618	10426	6417
619	10442	6399
620	10504	6411
621	10520	6393
622	10564	6393
623	10582	6376
624	10604	6362
625	10623	6347
626	10640	6329
627	10658	6313
628	10670	6293
629	10680	6272
630	10694	6254
631	10705	6233
632	10715	6212
633	10731	6195
634	10746	6177
635	10764	6160
636	10778	6142
637	10792	6123
638	10804	6104
639	10819	6085
640	10832	6066
641	10843	6046
642	10855	6027
643	10870	6008
644	10882	5989
645	10898	5972
646	10929	5962
647	10965	5956
648	10983	5940
649	11018	5933
650	11038	5917
651	11057	5901
652	11072	5883
653	11088	5866
654	11099	5846
655	11127	5835
656	11138	5815
657	11148	5794
658	11161	5775
659	11183	5761
660	11206	5747
661	11220	5729
662	11231	5709
663	11246	5691
664	11258	5671
665	11268	5651
666	11278	5630
667	11289	5611
668	11303	5592
669	11320	5575
670	11335	5557
671	11346	5537
672	11355	5517
673	11369	5499
674	11380	5479
675	11393	5460
676	11404	5441
677	11418	5422
678	11430	5403
679	11440	5383
680	11450	5363
681	11461	5344
682	11493	5334
683	11507	5316
684	11518	5296
685	11527	5276
686	11563	5268
687	11578	5250
688	11589	5231
689	11606	5214
690	11616	5194
691	11658	5188
692	11686	5177
693	11700	5158
694	11709	5138
695	11724	5121
696	11745	5105
697	11764	5089
698	11774	5070
699	11786	5051
700	11798	5032
701	11821	5018
702	11838	5001
703	11849	4982
704	11862	4963
705	11877	4945
706	11888	4927
707	11898	4907
708	11912	4889
709	11935	4874
710	11956	4859
711	11972	4842
712	11987	4825
713	12001	4807
714	12017	4790
715	12030	4771
716	12045	4754
717	12059	4736
718	12070	4717
719	12081	4698
720	12096	4680
721	12119	4666
722	12137	4650
723	12153	4633
724	12219	4634
725	12233	4616
726	12267	4606
727	12283	4589
728	12312	4577
729	12329	4560
730	12362	4549
731	12379	4532
732	12394	4514
733	12414	4498
734	12426	4480
735	12440	4462
736	12456	4445
737	12471	4427
738	12484	4409
739	12499	4391
740	12529	4379
741	12543	4361
742	12563	4345
743	12579	4328
744	12597	4311
745	12612	4294
746	12629	4277
747	12643	4259
748	12658	4242
749	12673	4224
750	12688	4207
751	12704	4189
752	12719	4172
753	12733	4154
754	12743	4135
755	12761	4118
756	12779	4102
757	12793	4084
758	12814	4068
759	12828	4051
760	12846	4034
761	12867	4018
762	12878	4000
763	12890	3981
764	12900	3962
765	12915	3945
766	12937	3930
767	12954	3913
768	12983	3900
769	13013	3887
770	13035	3871
771	13050	3854
772	13066	3837
773	13083	3820
774	13113	3807
775	13142	3793
776	13209	3791
777	13235	3776
778	13312	3776
779	13329	3759
780	13396	3756
781	13415	3739
782	13457	3729
783	13473	3711
784	13519	3702
785	13536	3685
786	13564	3671
787	13605	3660
788	13625	3643
789	13643	3626
790	13660	3609
791	13679	3592
792	13788	3599
793	13815	3584
794	13899	3584
795	13922	3568
796	13999	3565
797	14014	3547
798	14048	3534
799	14064	3516
800	14130	3510
801	14145	3492
802	14165	3475
803	14177	3456
804	14191	3437
805	14205	3419
806	14220	3400
807	14235	3382
808	14249	3364
809	14315	3357
810	14333	3340
811	14397	3333
812	14412	3314
813	14435	3298
814	14453	3280
815	14480	3265
816	14500	3247
817	14516	3229
818	14532	3211
819	14549	3193
820	14564	3175
821	14579	3157
822	14596	3139
823	14609	3120
824	14626	3102
825	14642	3084
826	14658	3066
827	14674	3048
828	14688	3029
829	14705	3011
830	14720	2993
831	14745	2977
832	14759	2958
833	14773	2940
834	14785	2921
835	14800	2903
836	14821	2886
837	14833	2867
838	14847	2849
839	14858	2830
840	14870	2811
841	14914	2798
842	14928	2780
843	14957	2764
844	14976	2747
845	14988	2728
846	15002	2710
847	15020	2692
848	15035	2674
849	15047	2655
850	15060	2636
851	15076	2618
852	15088	2600
853	15101	2581
854	15116	2563
855	15131	2545
856	15146	2527
857	15161	2509
858	15216	2497
859	15231	2479
860	15268	2464
861	15290	2447
862	15306	2429
863	15319	2411
864	15338	2393
865	15353	2375
866	15365	2357
867	15381	2339
868	15399	2321
869	15412	2303
870	15424	2284
871	15436	2265
872	15450	2247
873	15461	2229
874	15472	2210
875	15484	2191
876	15495	2173
877	15509	2155
878	15525	2137
879	15539	2118
880	15554	2101
881	15566	2082
882	15579	2064
883	15598	2046
884	15625	2030
885	15642	2012
886	15669	1996
887	15708	1981
888	15758	1967
889	15803	1953
890	15817	1935
891	15849	1919
892	15863	1900
893	15898	1885
894	15914	1867
895	15932	1849
896	15955	1832
897	15970	1814
898	15984	1795
899	15997	1777
900	16009	1759
901	16019	1740
902	16033	1722
903	16071	1706
904	16086	1688
905	16120	1672
906	16156	1656
907	16206	1642
908	16253	1627
909	16269	1609
910	16314	1593
911	16328	1575
912	16370	1559
913	16387	1541
914	16435	1526
915	16455	1509
916	16498	1493
917	16513	1475
918	16560	1459
919	16577	1441
920	16614	1425
921	16629	1406
922	16658	1389
923	16673	1371
924	16688	1353
925	16725	1336
926	16743	1318
927	16762	1300
928	16776	1282
929	16791	1263
930	16802	1245
931	16812	1226
932	16824	1208
933	16837	1189
934	16851	1171
935	16863	1153
936	16877	1134
937	16888	1116
938	16898	1097
939	16919	1079
940	16946	1062
941	16961	1044
942	16972	1025
943	16983	1007
944	16998	989
945	17008	970
946	17021	952
947	17036	934
948	17077	917
949	17096	899
950	17118	882
951	17133	863
952	17154	846
953	17165	827
954	17174	809
955	17188	791
956	17199	772
957	17230	755
958	17255	737
959	17270	719
960	17315	702
961	17338	684
962	17351	666
963	17366	648
964	17382	630
965	17411	612
966	17426	594
967	17440	576
968	17452	558
969	17468	540
970	17487	522
971	17499	504
972	17515	486
973	17533	468
974	17546	449
975	17570	432
976	17582	413
977	17619	396
978	17638	378
979	17651	360
980	17664	342
981	17676	324
982	17696	306
983	17707	287
984	17720	269
985	17732	251
986	17748	233
987	17764	215
988	17778	197
989	17791	179
990	17806	161
991	17820	143
992	17834	125
993	17847	107
994	17858	89
995	17872	71
996	17885	53
997	17908	35
998	17917	17
999	17929	0
